,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,label
63,2018-01-24,40.7,42.24,41.13,40.46,542629.62,0.15,0.37,40.164,38.858000000000004,36.07,541084.03,619276.01,590315.13,0.56,0.022611232676878184
64,2018-01-23,40.0,41.51,40.98,39.99,648657.5,1.45,3.67,39.891999999999996,38.312,35.539,594996.5,610382.64,577125.93,0.67,-0.0036603221083456733
65,2018-01-22,39.0,39.84,39.53,38.51,406526.41,0.11,0.28,39.736,37.798,35.008,660957.96,593362.8,570012.18,0.42,-0.036681001770806874
66,2018-01-19,39.85,41.09,39.42,39.25,548758.25,-0.34,-0.85,39.248000000000005,37.444,34.524,731089.89,635788.52,566796.18,0.56,-0.002790461694571269
67,2018-01-18,39.6,40.64,39.76,38.9,558848.38,-0.01,-0.03,38.474000000000004,36.978,34.039,728740.9,665222.89,569116.46,0.58,0.008551307847082402
68,2018-01-17,39.48,40.6,39.77,38.3,812191.94,-0.43,-1.07,37.552,36.314,33.481,697467.99,662246.63,557625.37,0.84,0.0002514458134273351
69,2018-01-16,36.5,40.7,40.2,36.4,978464.81,3.11,8.38,36.732,35.57,32.951,625768.78,645714.46,534019.98,1.01,0.010696517412935315
70,2018-01-15,35.84,38.0,37.09,35.61,757186.06,1.54,4.33,35.86,34.806,32.364000000000004,525767.64,616211.32,506161.09,0.78,-0.08385009436505794
71,2018-01-12,35.1,36.62,35.55,35.09,537013.31,0.4,1.14,35.64,34.203,31.965,540487.15,579023.46,488113.24,0.55,-0.04331926863572451
72,2018-01-11,35.55,35.78,35.15,34.54,402483.81,-0.52,-1.46,35.482,33.718,31.693,601704.87,562053.74,480365.97,0.41,-0.011379800853485025
73,2018-01-10,35.6,36.7,35.67,35.5,453695.91,-0.17,-0.47,35.076,33.282,31.432,627025.27,561354.25,476989.47,0.47,0.014578076815250997
74,2018-01-09,35.63,36.11,35.84,34.95,478459.09,-0.15,-0.42,34.408,32.765,31.127,665660.13,543869.22,477686.62,0.49,0.004743303571428619
75,2018-01-08,35.11,36.96,35.99,35.11,830783.62,1.23,3.54,33.751999999999995,32.218,30.831999999999997,706655.01,546661.56,478870.44,0.86,0.004167824395665423
76,2018-01-05,32.98,35.88,34.76,32.8,843101.94,1.64,4.95,32.766,31.604,30.523000000000003,617559.77,497803.84,466740.62,0.87,-0.03538550057537411
77,2018-01-04,32.76,33.53,33.12,32.1,529085.81,0.79,2.44,31.954,31.1,30.283,522402.61,473010.03,454085.88,0.54,-0.049516908212560405
78,2018-01-03,32.5,33.78,32.33,32.23,646870.19,-0.23,-0.71,31.488000000000003,30.648000000000003,30.165,495683.22,453004.12,447121.31,0.67,-0.02443550881534176
79,2018-01-02,31.45,32.99,32.56,31.45,683433.5,1.5,4.83,31.122,30.331,30.1,422078.3,422325.51,442992.9,0.7,0.007063882063882186
80,2017-12-29,30.75,31.71,31.06,30.74,385307.41,0.36,1.17,30.684,29.921,30.015,386668.11,396110.85,427815.73,0.4,-0.04829362524146824
81,2017-12-28,30.4,30.84,30.7,29.87,367316.16,-0.09,-0.29,30.441999999999997,29.726,29.998,378047.91,397203.03,436422.29,0.38,-0.01172638436482083
82,2017-12-27,30.55,31.09,30.79,30.4,395488.84,0.29,0.95,30.246,29.666999999999998,30.024,423617.44,398678.19,468089.75,0.41,0.002923026956804153
